index|hira|kana|en|pos|sound|audio|image_hira|image_kana|detail_hira|detail_kana
35|や|ヤ|ya|Kana|Kana_ya.mp3|db/35/audio.mp3|db/35/hira_ya.png|db/35/kana_ya.png|db/35/detail_hira_ya.png|db/35/detail_kana_ya.png
36|ゆ|ユ|yu|Kana|Kana_yu.mp3|db/36/audio.mp3|db/36/hira_yu.png|db/36/kana_yu.png|db/36/detail_hira_yu.png|db/36/detail_kana_yu.png
37|よ|ヨ|yo|Kana|Kana_yo.mp3|db/37/audio.mp3|db/37/hira_yo.png|db/37/kana_yo.png|db/37/detail_hira_yo.png|db/37/detail_kana_yo.png
38|ら|ラ|ra|Kana|Kana_ra.mp3|db/38/audio.mp3|db/38/hira_ra.png|db/38/kana_ra.png|db/38/detail_hira_ra.png|db/38/detail_kana_ra.png
39|り|リ|ri|Kana|Kana_ri.mp3|db/39/audio.mp3|db/39/hira_ri.png|db/39/kana_ri.png|db/39/detail_hira_ri.png|db/39/detail_kana_ri.png
40|る|ル|ru|Kana|Kana_ru.mp3|db/40/audio.mp3|db/40/hira_ru.png|db/40/kana_ru.png|db/40/detail_hira_ru.png|db/40/detail_kana_ru.png
41|れ|レ|re|Kana|Kana_re.mp3|db/41/audio.mp3|db/41/hira_re.png|db/41/kana_re.png|db/41/detail_hira_re.png|db/41/detail_kana_re.png
42|ろ|ロ|ro|Kana|Kana_ro.mp3|db/42/audio.mp3|db/42/hira_ro.png|db/42/kana_ro.png|db/42/detail_hira_ro.png|db/42/detail_kana_ro.png
43|わ|ワ|wa|Kana|Kana_wa.mp3|db/43/audio.mp3|db/43/hira_wa.png|db/43/kana_wa.png|db/43/detail_hira_wa.png|db/43/detail_kana_wa.png
44|を|ヲ|wo|Kana|Kana_wo.mp3|db/44/audio.mp3|db/44/hira_wo.png|db/44/kana_wo.png|db/44/detail_hira_wo.png|db/44/detail_kana_wo.png
45|ん|ン|n|Kana|Kana_n.mp3|db/45/audio.mp3|db/45/hira_n.png|db/45/kana_n.png|db/45/detail_hira_n.png|db/45/detail_kana_n.png
46|が|ガ|ga|Kana|Kana_ga.mp3|db/46/audio.mp3|db/46/hira_ga.png|db/46/kana_ga.png|db/46/detail_hira_ga.png|db/46/detail_kana_ga.png
47|ぎ|ギ|gi|Kana|Kana_gi.mp3|db/47/audio.mp3|db/47/hira_gi.png|db/47/kana_gi.png|db/47/detail_hira_gi.png|db/47/detail_kana_gi.png
48|ぐ|グ|gu|Kana|Kana_gu.mp3|db/48/audio.mp3|db/48/hira_gu.png|db/48/kana_gu.png|db/48/detail_hira_gu.png|db/48/detail_kana_gu.png
